Epochs,Learning Rate,Training Time,Accuracy
1,0.01,3.3916118144989014,0.9026
1,0.01,2.971759557723999,0.9166
1,0.01,2.8451333045959473,0.9018
1,0.01,2.886601209640503,0.9116
1,0.01,2.8595080375671387,0.909
1,0.01,2.8942854404449463,0.9068
1,0.01,2.8571343421936035,0.9158
1,0.01,2.8321542739868164,0.9066
1,0.01,2.825218915939331,0.9146
1,0.01,2.9196598529815674,0.9044
1,0.001,3.00689697265625,0.8778
1,0.001,3.2769198417663574,0.8771
1,0.001,3.973304271697998,0.8751
1,0.001,2.8496761322021484,0.8766
1,0.001,2.875556468963623,0.8696
1,0.001,2.8174047470092773,0.8752
1,0.001,2.8900625705718994,0.8773
1,0.001,3.37691330909729,0.8828
1,0.001,2.8757424354553223,0.8817
1,0.001,2.9061696529388428,0.8792
10,0.01,29.892563581466675,0.9221
10,0.01,35.19717025756836,0.9217
10,0.01,30.26491141319275,0.9221
10,0.01,30.194251537322998,0.9146
10,0.01,32.48630952835083,0.9155
10,0.01,38.94746494293213,0.9193
10,0.01,36.66423416137695,0.9121
10,0.01,44.96811366081238,0.9193
10,0.01,53.102794885635376,0.921
10,0.01,44.210715770721436,0.9237
10,0.001,42.73806977272034,0.9172
10,0.001,40.57557773590088,0.9193
10,0.001,43.039674282073975,0.9178
10,0.001,42.78511309623718,0.9177
10,0.001,49.52395224571228,0.9186
10,0.001,53.939385175704956,0.9174
10,0.001,51.46670126914978,0.9165
10,0.001,50.65968418121338,0.9173
10,0.001,51.58805322647095,0.9162
10,0.001,51.18480896949768,0.9182
20,0.01,102.82004737854004,0.9227
20,0.01,105.45234084129333,0.9216
20,0.01,104.81745195388794,0.911
20,0.01,110.53409719467163,0.9209
20,0.01,106.85957956314087,0.9177
20,0.01,96.5996687412262,0.924
20,0.01,106.79474711418152,0.9215
20,0.01,106.62692856788635,0.9186
20,0.01,110.04562973976135,0.923
20,0.01,109.09696078300476,0.9227
20,0.001,112.35382795333862,0.9218
20,0.001,110.22646236419678,0.9196
20,0.001,107.2510712146759,0.9194
20,0.001,104.53182220458984,0.9218
20,0.001,108.19436717033386,0.9214
20,0.001,109.16021227836609,0.9207
20,0.001,108.70479416847229,0.9207
20,0.001,106.07294225692749,0.9206
20,0.001,109.63268542289734,0.9224
20,0.001,108.12368679046631,0.92
100,0.01,585.8199722766876,0.9184
100,0.01,575.6461231708527,0.9116
100,0.01,537.4935183525085,0.9217
100,0.01,544.4797616004944,0.9146
100,0.01,554.9466297626495,0.9206
100,0.01,577.4998183250427,0.9211
100,0.01,551.1947183609009,0.9171
100,0.01,281.881963968277,0.9225
100,0.01,330.22782278060913,0.9209
100,0.01,305.5051300525665,0.9216
100,0.001,329.872478723526,0.9257
100,0.001,279.7320988178253,0.9265
100,0.001,278.45146799087524,0.926
100,0.001,280.4143970012665,0.9253
100,0.001,279.4411566257477,0.9247
100,0.001,280.8371605873108,0.9252
100,0.001,279.3250901699066,0.9258
100,0.001,279.7320501804352,0.9236
100,0.001,277.82704877853394,0.9259
100,0.001,281.48860263824463,0.9246
